aabceorst acrobates acrobates
aabceiort acrobatie acrobatie
acdeinory acrodynie acrodynie;maladie infantile touchant les extrémités
aceeilnor acroleine acroléine;aldéhyde éthylénique liquide volatil suffocant
aaceilmor acromiale acromiale*
aacimorux acromiaux acromiaux*;qui appartient à l'acromion (apophyse de l'omoplate en forme de spatule)
acimnoors acromions acromions
acemnorsy acronymes acronymes
acelooprs acropoles acropoles
acemoorss acrosomes acrosomes*
acooprrst acrosport acrosport(00)
aceeorrst acroteres acrotères
aceilqruy acrylique acrylique
aacceilnt actanciel actanciel(00);schéma actanciel : analyse d'une oeuvre narrative
aaceilntt actantiel actantiel(17);qualifie une analyse littéraire qui au-delà des personnages étudie les rapports entre les sujets (les actants)
acginottu actingout acting-out;expression soudaine de sentiments refoulés
acdeiinst actinides actinides
aacdiiint actinidia actinidia(00);(ou actinidie) arbuste grimpant ornemental
acdeiiint actinidie actinidie;(ou actinidia) arbuste grimpant ornemental
aceiinqtu actinique actinique;se dit des radiations qui exercent une action chimique
aceiimnst actinisme actinisme;propriété des radiations actiniques
aceiinstt actinites actinites
aciimnstu actiniums actiniums
aceinostt actinotes actinotes
aceeinnot actionnee actionnée
aceinnort actionner actionner
aceinnost actionnes actionnés
aabceiltv activable activable(13)
aceirstuv activeurs activeurs*
aceiimstv activisme activisme;théorie privilégiant l'action directe sur les principes théoriques
aceiisttv activiste activiste;relatif à l'activisme (théorie privilégiant l'action directe sur les principes théoriques)
aceiisttv activites activités
aaceirstu actuaires actuaires
aaceilstu actualise actualisé
aaceilttu actualite actualité
aaacirttu actuariat actuariat;technique appliquant les méthodes statistiques et du calcul des probabilités
aaceilrtu actuariel actuariel;relatif aux méthodes mathématiques des actuaires
aacinottu actuation actuation*;actualisation
aceellstu actuelles actuelles
aaceelstu aculeates aculéates
aceeimnsu acuminees acuminées
aaceglntu acutangle acutangle;triangle acutangle : à 3 angles aigus
acceilquy acyclique acyclique;se dit d'un phénomène qui n'est pas soumis à un cycle
aacilnoty acylation acylation;fixation d'un radical acyle sur une molécule
aaadimnnt adamantin adamantin;qui a la dureté ou l'éclat du diamant
aadeimqsu adamiques adamiques
aadeimmss adamismes adamismes
aadeimoss adamoises adamoises°(01)
aaabdelpt adaptable adaptable
aaadfiptt adaptatif adaptatif
acddfiist addictifs addictifs
acddiinot addiction addiction;comportement répétitif incoercible et nuisible à la santé comme la toxicomanie
acddeiitv addictive addictive;addictif : se dit d'un comportement répétitif incoercible et nuisible à la santé
addiinost additions additions
addeeiitv additivee additivée
addeiistv additives additives
addeiistv additives additivés
acddertuu adducteur adducteur;(ou muscle adducteur) qui produit l'adduction (mouvement par lequel un membre écarté se remet dans sa position de repos)
acddinotu adduction adduction;mouvement par lequel un membre écarté se remet dans sa position de repos
addeeinos adenoides adénoïdes
adeeinnos adenosine adénosine;constituant important des noyaux cellulaires
aadeeqstu adequates adéquates
acdeeehnr adherence adhérence
adeeehnrt adherente adhérente
adeehnrst adherents adhérents
adehinoss adhesions adhésions
adeehissv adhesives adhésives
adehimmno adhominem ad hominem(00);dirigé contre la personne même de l'adversaire
aadimnstu adiantums adiantums
adeeipssu adipeuses adipeuses
adeiipqsu adipiques adipiques
acdeiopty adipocyte adipocyte;cellule spécialisée dans le stockage des lipides
adeilopsy adipolyse adipolyse*;dissolution des graisses par hydrolyse
adeiiopst adiposite adiposité;accumulation de graisse dans un tissu
aacdeejnt adjacente adjacente
aacdejnst adjacents adjacents
acdefijst adjectifs adjectifs
acdeeijtv adjective adjective
acdeeijtv adjective adjectivé
addeijnor adjoindre adjoindre
adeijnost adjointes adjointes
aaddejntu adjudante adjudante(03)
aaddjnstu adjudants adjudants
aadegjntu adjugeant adjugeant
aadejntuv adjuvante adjuvante
aadjnstuv adjuvants adjuvants
abdiilmtu adlibitum ad libitum(00);à volonté
aademnttt admettant admettant
aabdeilmr admirable admirable
aadfiimrt admiratif admiratif
adiimnoss admission admission
adeemnost admoneste admonesté;admonester(vt) : faire une remontrance ou réprimander
aaademnsu adnauseam ad nauseam*(15);jusqu'à la nausée ou à n'en plus finir
aabdelopt adoptable adoptable
aadenoptt adoptante adoptante
aadnopstt adoptants adoptants
adinoopst adoptions adoptions
adeiopstv adoptives adoptives
aabdelors adorables adorables
aadeorrtu adorateur adorateur
aadinoort adoration adoration
aaadegnrt adragante adragante;gomme adragante : substance mucilagineuse qui exsude du tronc d'arbrisseaux
aaadgnrst adragants adragants*#
aadeegrss adressage adressage
aadenrsst adressant adressant
adeeersss adressees adressées
aabdnorst adsorbant adsorbant;fixant un gaz ou un liquide superficiellement ou adsorber(vt) : fixer un gaz ou un liquide superficiellement
abdeeorss adsorbees adsorbées
aadeilrsu adulaires adulaires
aadelrtuu adulateur adulateur
aadilnotu adulation adulation
adeeelrtu adulteree adultérée
adeelrrtu adulterer adultérer
adeelrstu adulteres adultères
adeelrstu adulteres adultérés
adeilnrtu adulterin adultérin
adeilmstu adultisme adultisme*;caractère du comportement adulte
aadelmorv advalorem ad valorem(00);droits ad valorem : droits calculés sur la valeur d'un produit
acdeinotv advection advection;déplacement d'une masse d'air dans le sens horizontal
acdeeintv adventice adventice;qui s'ajoute accessoirement
adefinstv adventifs adventifs
adeeintvv adventive adventive;se dit d'un organe qui se développe en un endroit différent de son lieu ordinaire
aabdeilrv adverbial adverbial
adeeirstv adversite adversité
aadeimnsy adynamies adynamies
aeegmooss aegosomes aegosomes*
aeeginrsy aegyrines aegyrines
aeinoprsy aepyornis aepyornis;(ou épyornis)
aaeerrstu aerateurs aérateurs
aaeinorst aerations aérations
aceeilors aericoles aéricoles*
aeeeinnrs aeriennes aériennes
aeeefirrs aeriferes aérifères*
abeeioors aerobiose aérobiose;condition de vie d'un micro-organisme ou d'un phénomène aérobie (qui ne peut vivre qu'en présence d'oxygène)
abcelorsu aeroclubs aéro-clubs
abcelorsu aeroclubs aéroclubs*
aceeiloor aerocolie aérocolie;accumulation de gaz dans le côlon
adeemoorr aerodrome aérodrome
adeenorsy aerodynes aérodynes
aeefinorr aerofrein aérofrein
aaeegorrs aerogares aérogares
aeeilorst aerolites aérolites*
aeehilort aerolithe aérolithe*;(ou aérolite)
aeegiloor aerologie aérologie;branche de la météorologie qui étudie les propriétés des hautes couches de l'atmosphère
aaeenortu aeronaute aéronaute;pilote ou passager d'un aérostat
aaaelnorv aeronaval aéronaval
aeeimnoor aeronomie aéronomie;science qui étudie la chimie et la physique de la haute atmosphère
aeehnoopr aerophone aérophone(08);instrument dont les sons proviennent des vibrations de l'air environnant ou contenu dans un tube
