SIRISEDOPI (8) | dissiper, disposer, épissoir(e)
LSECONECEM (9) | clémences (semoncée (vt))
SSATEMASIT (9) | statismes (astasies, mastites)
RESIFANUQA (8) | franques, arnaqués
TNEVETERAS (10)| vétérantes(nf) (entartées,entravées) ((vétérans(nm),...))
ERITAMOMID (9) | ommatidie
LZUSANETAT (8) | atlantes, sultanat, tantales
ELARAPESES (9) | prélassée
TYNECISURA (9) | recuisant (vt), nycturies
AERESOTUPE (9) | poétereau, épeautres
SOSENEDOPI (8) | dispensé, disposée, épisodes, isopodes, spondées(nf)
UALUCAFITU (7) | califat, flûtiau (+flûteau(x)) (calfat,facial,laïcat)
VRETIRESEF (9) | trévirées (vt)
UDEXILUTEP (7) | duplexé (vt), épulide, pédieux(euse)
EADUCASIDE (8) | au-deçà de, décidues (adj) (au-delà(s), ...)
ETENISOJAC (9) | ajointées (vt), canoéiste, éjections
COBORAREDE (9) | brocardée(vt) (bocardée/er(vt),corrodée(vt))
IPESUBAFEN (9) | aubépines, peaufinés (punaisée (vt))
PIXIODSORE (8) | prosodie, opioïdes (isopode, roidies(vt))
ISITASAFON (9) | ossifiant (saintais°, saintois°)
NANUSIRIQE (9) | quinaires, iraquiens
AHACESOMUT (9) | moustache (atchoums, macoutes, soutaché (vt))
GUXOROBIDO (7) | boudoir (gourbi (nm))
NREICECETE (9) | réticence (éreintée)
TAVIREHUSI (8) | visiteur
TACEGASIJA (8) | sagacité (agatisé(adj),Agétacs,jaciste)
MERORETILA (9) | améliorer, artériole
MINUVODULI (8) | diluvium (mildiou, milouin(nm))
DOTOTUMAFA (6) | amadou, aoûtat
SFONODOTER (8) | rotondes, tréfonds (inv)
FCEJEBODES (7) | obsédée
QMELETETOL (8) | omelette, mollette (ou molette)
KEHOQOSERA (7) | kashère (arkose, kasher, shaker)
OISADERARI (9) | ardoisier (ière, +ardoisé : adj), radiaires
VOLIMANYSI (8) | malinois°,monilias,synovial(e,aux),vimynois°
NRERITETEM (9) | étirement,rétreinte,ménétrier(nm),trentième
IONISULATE (9) | lusitaine°
BUNUNITOQI (7) | bouquin
EOTOPAGIDU (9) | topoguide(s), topo-guide(s)
TECETUMAGO (9) | mégaoctet (émottage)
LUNIDAHESI (8) | anilides, enlaidis
UASORILUSA (8) | sarouals (el) (rassoul (ou ghassoul), saloirs)
LETIMIXAVA (8) | laxative (x)
TAMAMECESE (8) | casemate (étamées (vt), sétacée (adj))
MTEPAKITIL (8) | malikite (palmite)
IPAMOTILAN (10)| ampliation (x) ((x))
ETUDANAMEM (8) | mandatée (manteau)
ELADICETUL (9) | citadelle, délictuel
CETANAGILU (9) | calugeant (vi), acutangle
OQIGAVEXUG (8) | agogique (ogivaux) ((vioque))
EOMANONISU (8) | mannoise, monnaies, nouaison, onanisme, unanimes
ERUVUDEDOC (8) | décodeur, découdre
GESOLATUNA (10)| goualantes(nf),soulageant (analogues, langouste)
GILESYRENU (9) | surlignée
UDELADAROT (8) | taularde
CSEMIDIBED (8) | déicides
TELENERATU (9) | tarentule
EVAROCIRAS (8) | avarices, corsaire
EFOTAXELUR (8) | eau-forte (pl : eaux-fortes)
MILECARISI (9) | ciliaires, miliaires, similaire
EEHADACICO (8) | caca d'oie (inv)
EATONSRENP (10)| patronnées(vt) (opérantes(adj),prenantes(adj),ratonnées(vt),taponnées(vt),reposante,...)
BSORAFARES (9) | arrobases (arobases, braséros)
KASEDANOSI (8) | anodisés (vt), danoises, sedanais
SOLOREHESE (8) | roséoles (essorée, hersées (vt), hors-sol(s), loosers)
AODEQEBEHI (6) | ébahie, béhaïe (adj, ou bahaï(e,s), + ba/béhaïsme)
PWURAMIELE (8) | paumière (ier), parmélie
EFECEBANEN (8) | ébénacée (enfance)
NMERICESIS (9) | irénismes, séricines
NNOTITACAG (8) | agnation, natation, agiotant(vi), canotant(vi), cogitant(vt)
ODSXAVLEUU (8) | soûlaude,vaudoues(adj) (dévolus,doleaux,lave-dos(inv),voulues)
SSISORUTER (10)| rôtisseurs (euse) (ressortis (vt))
TSITEDUNIR (9) | industrie, instituer, instruite, interdits
OASIGEMUNO (8) | angiomes, oogamies, sagouine (-in)
SEFUMOLECA (10)| camouflées (fécalomes)
PESIGASEPU (8) | apepsies, épissage, puisages
TENUDAHEMO (9) | méthadone (dahoméen°, nématode)
TACUHOSISU (8) | souhaits (chouias,chatous,cuissot,shiatsu,touchau(x,d,eau),chaouis)
TURECOFARE (9) | eurocrate, fracturée
