acemoors acrosome acrosome*;organite situé à l'extrémité antérieure des spermatozoïdes
aceeorrt acrotere acrotère;socle portant en général un ornement
acdeiint actinide actinide(05);élément chimique radioactif
aceiinst actinies actinies
aceiintt actinite actinite;lésion cutanée due à la lumière
aciimntu actinium actinium;métal radioactif
aceinott actinote actinote;amphibole calcique magnésienne et ferreuse de couleur verte
aceinnot actionne actionné
aacinttv activant activant
aceeistv activees activées
aceirtuv activeur activeur*;substance qui augmente l'activité d'un catalyseur
aceiittv activite activité
aacorstt actorats actorats(19)
acceirst actrices actrices
aaceirtu actuaire actuaire;spécialiste de l'application de la statistique
aceelltu actuelle actuelle
aaceeltu aculeate aculéate;insecte hyménoptère portant un aiguillon venimeux comme l'abeille ou la fourmi
aceeimnu acuminee acuminée
aceimnsu acumines acuminés
aadeimns adamiens adamiens*#
aadeimqu adamique adamique;d'Adam
aadeimms adamisme adamisme;doctrine de certains hérétiques chrétiens qui paraissent nus dans les assemblées
aadeimst adamites adamites*#
aadeimos adamoise adamoise°(01)
aaadnptt adaptant adaptant
aadeepst adaptees adaptées
aadddens addendas addendas*
acddeist addictes addictes*#(07)
acddfiit addictif addictif;se dit d'un comportement répétitif incoercible et nuisible à la santé
addfiist additifs additifs
addiinot addition addition
addeiitv additive additive
addeiitv additive additivé;désigne un carburant pourvu d'additifs augmentant le taux d'octane
adeeinns adenines adénines
adeeinst adenites adénites
addeeino adenoide adénoïde;qui se rapporte au tissu glandulaire
adeemnos adenomes adénomes
aadeeqtu adequate adéquate
aadeqstu adequats adéquats
aadehnrt adherant adhérant
adeehnrt adherent adhérent
adefhiss adhesifs adhésifs
adehinos adhesion adhésion
adeehisv adhesive adhésive
aadeinst adiantes adiantes
aadimntu adiantum adiantum;(ou adiante) fougère cultivée en serre appelée cheveu-de-Vénus
adeeipsu adipeuse adipeuse
adeiipqu adipique adipique;acide adipique : acide carboxylique double utilisé dans la fabrication du Nylon
adeiopss adiposes adiposes
adeiipss adipsies adipsies*
aacdejnt adjacent adjacent
acdefijt adjectif adjectif
adeijnot adjointe adjointe
adijnost adjoints adjoints
aaddjntu adjudant adjudant
adeegjsu adjugees adjugées
aadjnrtu adjurant adjurant;adjurer(vt) : supplier
adeejrsu adjurees adjurées
aadjntuv adjuvant adjuvant;se dit d'un traitement d'importance secondaire
aadjstuv adjuvats adjuvats*
adeemrtt admettre admettre
aadimnrt admirant admirant
adeeimrs admirees admirées
addeinos adonides adonides*
aadnnnot adonnant adonnant
adeennos adonnees adonnées
aadnoptt adoptant adoptant
adeeopst adoptees adoptées
adfiopst adoptifs adoptifs
adinoopt adoption adoption
adeioptv adoptive adoptive
aabdelor adorable adorable
aadnnort adornant adornant*(09);adorner(vt) : orner avec recherche
adeenors adornees adornées*(09)
aadnosst adossant adossant
adeeosss adossees adossées
aabdnotu adoubant adoubant
abdeeosu adoubees adoubées
acdeiosu adoucies adoucies
aadeprst adpatres ad patres(00);aller ad patres : mourir
aaadgnrt adragant adragant*#;caché à adragante (substance mucilagineuse qui exsude du tronc d'arbrisseaux)
adeeerss adressee adressée
adeerrss adresser adresser
adeersss adresses adresses
adeersss adresses adressés
adeiorst adroites adroites
abdeeors adsorbee adsorbée
abdeorrs adsorber adsorber
abdeorss adsorbes adsorbés
aadrsstt adstrats adstrats
aadeilru adulaire adulaire;pierre fine translucide et incolore ou pierre de lune
adeelrtu adultere adultère
adeelrtu adultere adultéré
adefintv adventif adventif;se dit d'un organe qui se développe en un endroit différent de son lieu ordinaire
adeensuv advenues advenues
abdeersv adverbes adverbes
adeerssv adverses adverses
aadeimny adynamie adynamie;diminution de la mobilité par faiblesse musculaire
aeegmoos aegosome aegosome*;(ou égosome)
aeeginry aegyrine aegyrine;silicate de fer et de sodium de la famille des pyroxènes
aaeerrtu aerateur aérateur
aaeinort aeration aération
aceeilor aericole aéricole*;se dit d'un organisme végétal qui vit dans l'air
aeeeinnr aerienne aérienne
aeeefirr aerifere aérifère*;qui conduit l'air
abceiors aerobics aérobics
abeeiors aerobies aérobies
abceloru aeroclub aéro-club
abceloru aeroclub aéroclub*
adeenory aerodyne aérodyne;tout appareil de navigation aérienne qui n'est pas un aérostat
aaeegorr aerogare aérogare
aeeglors aerogels aérogels(00)
aeeilort aerolite aérolite*;(ou aérolithe) météorite spécialement formée de silicates
aeefnors aeronefs aéronefs
aeooprrt aeroport aéroport
aeloorss aerosols aérosols
aaeorstt aerostat aérostat
aceehnss aeschnes aeschnes
aeehsstu aethuses aethuses
aabeffls affables affables
aabefflu affabule affabulé
aadeffis affadies affadies
aabffiil affaibli affaibli
aaeeffir affairee affairée
aaeffirr affairer affairer
aaeffirs affaires affaires
aaeffirs affaires affairés
aaeffiss affaisse affaissé
aaafflnt affalant affalant
aaeeffls affalees affalées
aaaffmnt affamant affamant
aaeeffms affamees affamées
aaeffmru affameur affameur
aceeefft affectee affectée
aceeffrt affecter affecter
aceeffst affectes affectés
acefffit affectif affectif
aeeffnrt afferent afférent;qui revient à quelqu'un
aeeeffmr affermee affermée
aeeffmrr affermer affermer
aeeffmrs affermes affermés
aeeffimr affermie affermie
aeffimrr affermir affermir
aeffimrs affermis affermis
aeeeffst affetees affétées*
aceeffhi affichee affichée
aceffhir afficher afficher
aceffhis affiches affiches
aceffhis affiches affichés
adeeffis affidees affidées
aaeffgil affilage affilage;fait d'affiler ou d'aiguiser
aaffilnt affilant affilant;affiler(vt) : donner du fil à un outil tranchant affûté
aeeffils affilees affilées
aeeffiil affiliee affiliée
aeffiilr affilier affilier
aeffiils affilies affiliés
affiilor affiloir affiloir;instrument qui sert à affiler
aaeffgin affinage affinage
aaffinnt affinant affinant
aeeffins affinees affinées
aeffinru affineur affineur
aeffiint affinite affinité
aeffiqtu affiquet affiquet;petit bijou qui s'agrafait à un vêtement
aeeffimr affirmee affirmée
aeffimrr affirmer affirmer
aeffimrs affirmes affirmés
aaeffilx affixale affixale*#
aaffiuxx affixaux affixaux*#;affixal (caché à affixe) : relatif à un affixe (élément qui se met au début ou au milieu ou à la fin d'un mot)
aeefflru affleure affleuré
aeeffgil affligee affligée
aeffgilr affliger affliger
aeffgils affliges affligés
aeefflou afflouee afflouée*
aeffloru afflouer afflouer*
aefflosu affloues affloués*
aafflntu affluant affluant
aefflntu affluent affluent
aafflnot affolant affolant
aeefflos affolees affolées
aaeffgou affouage affouage;droit de prendre du bois
aaeffgou affouage affouagé;affouager(vt) : dresser la liste des habitants qui jouissent du droit d'affouage (droit de prendre du bois)
aeeeffrt affretee affrétée
aeeffrrt affreter affréter
aeeffrst affretes affrétés
aeeffrsu affreuse affreuse
aeffilor affriole affriolé
aeffiqru affrique affriqué*(22);relatif à un type de consonne occlusive puis constrictive
aeffnort affronte affronté
affnorst affronts affronts
abeefflu affublee affublée
abefflru affubler affubler
abefflsu affubles affublés
affinosu affusion affusion;procédé thérapeutique consistant à verser de l'eau sur le corps
aaeffgtu affutage affutage~(12)
aaeffgtu affutage affûtage
aaffnttu affutant affutant~(12)
aaffnttu affutant affûtant
aeeffstu affutees affutées~(12)
aeeffstu affutees affûtées
aeffrtuu affuteur affuteur*~(19)
aeffrtuu affuteur affûteur*
aaefghns afghanes afghanes
aafghins afghanis afghanis
aaceflos afocales afocales
aacfiinr africain africain
aafiknrs afrikans afrikans*;(ou afrikaans) langue néerlandaise parlée en Afrique du Sud
aabefort afrobeat afrobeat(10);courant musical qui mêle des modes d'expression typiquement africains et afro-américains
aabefort afrobeat afro-beat(10)
acfkoorr afrorock afrorock~(12)
acfkoorr afrorock afro-rock(00);style musical
aaacegnt agacante agaçante
aaacgnst agacants agaçants
aaceegir agacerie agacerie
aaaegilx agalaxie agalaxie;(ou agalactie) absence ou cessation de la sécrétion lactée
aadegims agamides agamidés
aaaaggrr agaragar agar-agar;mucilage obtenu à partir d'algues utilisé en bactériologie
aaegorss agaroses agaroses*(11)
aaeegist agatisee agatisée*
aaegisst agatises agatisés*
aaaceegv agavacee agavacée;plante monocotylédone arbustive ou arborescente comme l'agave ou le yucca
aaeegins agenaise agenaise°(01)
aacegnnt agencant agençant
aceeegns agencees agencées
aceeginr agencier agencier;journaliste ou rédacteur d'une agence de presse
aadegnnt agendant agendant(00);agender(vt) : inscrire dans un agenda
adeeegns agendees agendées(00)
aeeegins agenesie agénésie;absence totale de développement d'un tissu ou d'un organe survenue avant la naissance
aaeegrst agerates agérates
aaegmrtu ageratum ageratum;(ou agérate) plante ornementale aux fleurs généralement bleues
aaegmrtu ageratum agératum~(12)
aaadgghs aggadahs aggadahs(05)
aaeeggrv aggravee aggravée
aaeggrrv aggraver aggraver
aaeggrsv aggraves aggravés
aegiilst agilites agilités
aaeggiot agiotage agiotage;spéculation frauduleuse sur les fonds publics
aaginott agiotant agiotant*#;caché à agiotage (spéculation frauduleuse sur les fonds publics)
aegiortu agioteur agioteur*;spéculateur
aaginsst agissant agissant
aagiostt agitatos agitatos*(09)
agiopprt agitprop agit-prop;technique de diffusion des idées révolutionnaires
aaglosss aglossas aglossas
aceglnoy aglycone aglycone*;composé non glucidique entrant dans la composition des hétérosides
aeghlpsy aglyphes aglyphes
aaeghnst agnathes agnathes
aaginnot agnation agnation;parenté par les hommes uniquement
aaeeggln agnelage agnelage;mise bas chez les brebis
aaeglnnt agnelant agnelant;agneler(vi) : mettre bas pour la brebis
aeeeglns agnelees agnelées
aeeglnst agnelets agnelets
aeegilnn agneline agneline;laine courte soyeuse et frisée provenant de la première tonte de l'agneau
aegilnns agnelins agnelins*
aeegllns agnelles agnelles
aeginoss agnosies agnosies
adeginsu agnusdei Agnus Dei;prière de la messe commençant par ces mots
adeginsu agnusdei agnus-Dei;médaillon de cire blanche portant l'image d'un agneau bénit par le pape
aeggioqu agogique agogique*;légères modifications du tempo non écrites dans la partition
aeginors agoniser agoniser;v.i
aeginost agoniste agoniste;se dit d'un muscle qui produit le mouvement considéré
